"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","5:36 AM","6:15 AM","6:55 AM","12:30 PM","1:00 PM","4:21 PM","4:30 PM","6:07 PM","7:25 PM","7:45 PM","1:00 PM"
"2","5:34 AM","6:15 AM","6:53 AM","12:30 PM","1:00 PM","4:22 PM","4:30 PM","6:08 PM","7:26 PM","7:45 PM","1:00 PM"
"3","5:33 AM","6:00 AM","6:51 AM","12:30 PM","1:00 PM","4:23 PM","4:45 PM","6:09 PM","7:28 PM","7:50 PM","1:00 PM"
"4","5:31 AM","6:00 AM","6:49 AM","12:30 PM","1:00 PM","4:24 PM","4:45 PM","6:10 PM","7:29 PM","7:50 PM","1:00 PM"
"5","5:29 AM","6:00 AM","6:48 AM","12:29 PM","1:00 PM","4:25 PM","4:45 PM","6:12 PM","7:30 PM","7:50 PM","1:00 PM"
"6","5:28 AM","6:00 AM","6:46 AM","12:29 PM","1:00 PM","4:26 PM","4:45 PM","6:13 PM","7:32 PM","7:50 PM","1:00 PM"
"7","5:26 AM","6:00 AM","6:44 AM","12:29 PM","1:00 PM","4:27 PM","4:45 PM","6:14 PM","7:33 PM","7:45 PM","1:00 PM"
"8","5:24 AM","6:00 AM","6:43 AM","12:29 PM","1:00 PM","4:28 PM","4:45 PM","6:15 PM","7:34 PM","7:45 PM","1:00 PM"
"9","6:22 AM","6:00 AM","7:41 AM","1:28 PM","1:00 PM","5:29 PM","4:45 PM","7:17 PM","8:35 PM","7:45 PM","1:00 PM"
"10","6:20 AM","6:30 AM","7:39 AM","1:28 PM","1:45 PM","5:30 PM","5:45 PM","7:18 PM","8:37 PM","9:00 PM","2:00 PM"
"11","6:19 AM","6:30 AM","7:37 AM","1:28 PM","1:45 PM","5:31 PM","5:45 PM","7:19 PM","8:38 PM","9:00 PM","2:00 PM"
"12","6:17 AM","6:30 AM","7:35 AM","1:28 PM","1:45 PM","5:32 PM","5:45 PM","7:20 PM","8:39 PM","9:00 PM","2:00 PM"
"13","6:15 AM","6:30 AM","7:34 AM","1:27 PM","1:45 PM","5:33 PM","5:45 PM","7:22 PM","8:40 PM","9:00 PM","2:00 PM"
"14","6:13 AM","6:30 AM","7:32 AM","1:27 PM","1:45 PM","5:34 PM","5:45 PM","7:23 PM","8:42 PM","9:00 PM","2:00 PM"
"15","6:11 AM","6:30 AM","7:30 AM","1:27 PM","1:45 PM","5:35 PM","5:45 PM","7:24 PM","8:43 PM","9:00 PM","2:00 PM"
"16","6:10 AM","6:30 AM","7:28 AM","1:26 PM","1:45 PM","5:36 PM","5:45 PM","7:25 PM","8:44 PM","9:00 PM","2:00 PM"
"17","6:08 AM","6:30 AM","7:27 AM","1:26 PM","1:45 PM","5:37 PM","6:00 PM","7:27 PM","8:46 PM","9:00 PM","2:00 PM"
"18","6:06 AM","6:30 AM","7:25 AM","1:26 PM","1:45 PM","5:38 PM","6:00 PM","7:28 PM","8:47 PM","9:00 PM","2:00 PM"
"19","6:04 AM","6:30 AM","7:23 AM","1:26 PM","1:45 PM","5:39 PM","6:00 PM","7:29 PM","8:48 PM","9:00 PM","2:00 PM"
"20","6:02 AM","6:30 AM","7:21 AM","1:25 PM","1:45 PM","5:40 PM","6:00 PM","7:30 PM","8:50 PM","9:00 PM","2:00 PM"
"21","6:00 AM","6:30 AM","7:19 AM","1:25 PM","1:45 PM","5:41 PM","6:00 PM","7:31 PM","8:51 PM","9:15 PM","2:00 PM"
"22","5:58 AM","6:30 AM","7:18 AM","1:25 PM","1:45 PM","5:42 PM","6:00 PM","7:33 PM","8:52 PM","9:15 PM","2:00 PM"
"23","5:56 AM","6:30 AM","7:16 AM","1:24 PM","1:45 PM","5:43 PM","6:00 PM","7:34 PM","8:54 PM","9:15 PM","2:00 PM"
"24","5:54 AM","6:30 AM","7:14 AM","1:24 PM","1:45 PM","5:44 PM","6:00 PM","7:35 PM","8:55 PM","9:15 PM","2:00 PM"
"25","5:52 AM","6:30 AM","7:12 AM","1:24 PM","1:45 PM","5:45 PM","6:00 PM","7:36 PM","8:56 PM","9:15 PM","2:00 PM"
"26","5:50 AM","6:30 AM","7:10 AM","1:24 PM","1:45 PM","5:46 PM","6:15 PM","7:38 PM","8:58 PM","9:15 PM","2:00 PM"
"27","5:48 AM","6:15 AM","7:08 AM","1:23 PM","1:45 PM","5:46 PM","6:15 PM","7:39 PM","8:59 PM","9:15 PM","2:00 PM"
"28","5:46 AM","6:15 AM","7:07 AM","1:23 PM","1:45 PM","5:47 PM","6:00 PM","7:40 PM","9:00 PM","9:15 PM","2:00 PM"
"29","5:44 AM","6:15 AM","7:05 AM","1:23 PM","1:45 PM","5:48 PM","6:00 PM","7:41 PM","9:02 PM","9:15 PM","2:00 PM"
"30","5:42 AM","6:15 AM","7:03 AM","1:22 PM","1:45 PM","5:49 PM","6:00 PM","7:42 PM","9:03 PM","9:15 PM","2:00 PM"
"31","5:40 AM","6:15 AM","7:01 AM","1:22 PM","1:45 PM","5:50 PM","6:00 PM","7:43 PM","9:05 PM","9:15 PM","2:00 PM"
